Timestamp,Admit Status,Ethnicity/Race ,"Are you a historically Underrepresented Ethnic Minority (URM)? [i.e. Black/African-American, Latinx/Chicanx, Filipinx, Native American/Indigenous, or Pacific Islander/Native Hawaiian]",Do you identify with being differently-abled or as a Disabled Student Program (DSP) student?,Gender,Sexual Orientation,"Do you identify as a historically underrepresented gender or sexuality [i.e. Cisgender Woman, Gender Queer, Gender Non-Conforming, Non-Binary, Transgender Man, Transgender Woman, Asexual, Androphilia, BI-Curious, Bisual, Gray Asexualtiy, Gynephilia, Homosexual, Non-Heterosexual, Pansexual, Polysexual, Queer, Etc.]",Current Year ,What Are You Majoring in?,How Many Majors Are You Planning?,How Many Minors Are You Planning?,Socioeconomic Class,Club/Student Organization Involvement,Club Participation per Week,"When Joining Clubs/Student Organizations, Did You Have Any Knowledge in the Clubs'/Student Organizations' Subject Matter?",How Would You Rate the Climate of Clubs/Student Organizations at BERKELEY?,How Would You Rate the Climate of Clubs/Student Organizations YOU ARE IN?,How Would You Rate the Inclusiveness of Clubs/Student Organizations at BERKELEY? ,How Would You Rate the Inclusiveness of the Clubs/Student Organizations that YOU ARE IN? ,Do You Feel Welcome at Berkeley?,Do You Feel as if You Are Part of the Berkeley Community?,Do You Feel as if You Are Part of the Berkeley Engineering Community?,Do You Feel Safe at Berkeley?
4/2/2020 11:09:38,Fall Admit - Freshmen,White/Caucasian,No,No,Cisgender Woman,Heterosexual,No,Freshman (Undergraduate),Bioengineering,Single Major,No Minors,Decline to say,3 - 4 Clubs/Student Organizations,7 - 8 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),4,5,4,5,5,5,4,4
4/2/2020 11:13:29,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,No,Junior (Undergraduate),Mechanical Engineering,Single Major,One Minor,"Working Class ($45,000 to $98,999)",1 - 2 Club(s)/Student Organization(s),5 - 6 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),2,,4,5,4,4,4,5
4/2/2020 11:24:48,Fall Admit - Freshmen,Black/African-American,Yes,No,Cisgender Woman,Heterosexual,No,Senior (Undergraduate),Mechanical Engineering,Single Major,No Minors,"New Money ($150,000 to $199,999)",1 - 2 Club(s)/Student Organization(s),2 - 3 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),4,5,3,5,3,2,3,4
4/2/2020 11:30:33,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,No,Junior (Undergraduate),Mechanical Engineering,Single Major,No Minors,"Middle Class ($99,000 to $149,999)",3 - 4 Clubs/Student Organizations,6 - 7 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),3,5,2,5,4,4,4,3
4/2/2020 11:32:21,Fall Admit - Freshmen,Latinx/Chicanx,Yes,No,Cisgender Woman,Heterosexual,Decline to say,Sophmore (Undergraduate),Bioengineering,Single Major,One Minor,"Middle Class ($99,000 to $149,999)",3 - 4 Clubs/Student Organizations,More Than 8 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),3,4,3,4,5,4,4,4
4/2/2020 11:39:35,Fall Admit - Freshmen,South-East Asian,No,No,Female,Heterosexual,No,Junior (Undergraduate),Bioengineering,Single Major,Two Minors,"Working Poor ($20,000 to $44,999)",1 - 2 Club(s)/Student Organization(s),2 - 3 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),3,5,3,5,4,4,4,2
4/2/2020 11:47:04,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,Yes,Freshman (Undergraduate),Bioengineering,Double Major,No Minors,"Upper Class (>$200,000)",More Than 4 Clubs/Student Organizations,More Than 8 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),4,4,5,5,5,5,5,5
4/2/2020 11:55:25,Fall Admit - Freshmen,South Asian,No,Decline to say,Cisgender Woman,Decline to say,Yes,Freshman (Undergraduate),"Electrical Engineering and Computer Science, Mechanical Engineering",Single Major,One Minor,"New Money ($150,000 to $199,999)",3 - 4 Clubs/Student Organizations,5 - 6 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),4,5,3,5,4,5,3,4
4/2/2020 12:00:20,Fall Admit - Freshmen,Latinx/Chicanx,Yes,Yes,Cisgender Woman,Heterosexual,Yes,Sophmore (Undergraduate),Electrical Engineering and Computer Science,Single Major,No Minors,"Working Poor ($20,000 to $44,999)",1 - 2 Club(s)/Student Organization(s),6 - 7 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),3,4,2,4,3,4,4,3
4/2/2020 12:04:15,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,No,Sophmore (Undergraduate),Computer Science,Single Major,No Minors,"New Money ($150,000 to $199,999)",3 - 4 Clubs/Student Organizations,4 - 5 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),3,5,3,5,5,5,4,3
4/2/2020 12:07:29,Fall Admit - Freshmen,"East Asian, White/Caucasian",No,No,Cisgender Woman,Bi-Curious,Yes,Senior (Undergraduate),Bioengineering,Single Major,Two Minors,"Middle Class ($99,000 to $149,999)",More Than 4 Clubs/Student Organizations,More Than 8 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),3,5,2,4,4,4,5,4
4/2/2020 12:18:56,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,Yes,Sophmore (Undergraduate),Electrical Engineering and Computer Science,Double Major,No Minors,"Middle Class ($99,000 to $149,999)",1 - 2 Club(s)/Student Organization(s),5 - 6 Hours,,,,,,,,,
4/2/2020 12:28:47,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,Yes,Freshman (Undergraduate),Electrical Engineering and Computer Science,Single Major,One Minor,"New Money ($150,000 to $199,999)",3 - 4 Clubs/Student Organizations,More Than 8 Hours,,,,,,,,,
4/2/2020 12:30:16,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Decline to say,No,Junior (Undergraduate),Industrial Engineering and Operations Research,Single Major,One Minor,"Working Class ($45,000 to $98,999)",3 - 4 Clubs/Student Organizations,7 - 8 Hours,,3,4,2,4,4,4,4,4
4/2/2020 12:36:36,Fall Admit - Freshmen,South-East Asian,Yes,No,Cisgender Woman,Bisexual,Yes,Freshman (Undergraduate),"Bioengineering, Electrical Engineering and Computer Science",Single Major,Two Minors,"Working Class ($45,000 to $98,999)",1 - 2 Club(s)/Student Organization(s),2 - 3 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),2,4,2,4,3,3,3,2
4/2/2020 12:41:09,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,No,Sophmore (Undergraduate),Electrical Engineering and Computer Science,Single Major,One Minor,"Working Class ($45,000 to $98,999)",1 - 2 Club(s)/Student Organization(s),4 - 5 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),4,4,3,3,3,4,4,3
4/2/2020 12:42:29,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,Yes,Junior (Undergraduate),"Bioengineering, Electrical Engineering and Computer Science",Double Major,No Minors,"New Money ($150,000 to $199,999)",1 - 2 Club(s)/Student Organization(s),5 - 6 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),2,4,2,5,4,4,5,4
4/2/2020 12:45:02,Fall Admit - Freshmen,"East Asian, White/Caucasian",No,No,Cisgender Woman,Heterosexual,Yes,Junior (Undergraduate),"Computer Science, Data Science",Double Major,No Minors,"Upper Class (>$200,000)",1 - 2 Club(s)/Student Organization(s),6 - 7 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),3,4,2,3,4,4,4,4
4/2/2020 13:39:16,Fall Admit - Freshmen,South-East Asian,No,No,Cisgender Woman,Decline to say,Decline to say,Freshman (Undergraduate),Computer Science,Single Major,No Minors,"Middle Class ($99,000 to $149,999)",1 - 2 Club(s)/Student Organization(s),1 - 2 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),4,5,3,5,4,4,3,3
4/2/2020 13:40:37,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,No,Freshman (Undergraduate),Electrical Engineering and Computer Science,Single Major,One Minor,"Middle Class ($99,000 to $149,999)",More Than 4 Clubs/Student Organizations,More Than 8 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),4,5,4,4,4,4,3,3
4/2/2020 13:48:55,Fall Admit - Freshmen,Middle Eastern/North African,No,No,Cisgender Woman,Heterosexual,Yes,Sophmore (Undergraduate),Mechanical Engineering,Single Major,One Minor,"Middle Class ($99,000 to $149,999)",1 - 2 Club(s)/Student Organization(s),5 - 6 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),5,5,5,5,5,5,5,5
4/2/2020 14:14:05,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,No,Sophmore (Undergraduate),Electrical Engineering and Computer Science,Single Major,No Minors,"Working Class ($45,000 to $98,999)",1 - 2 Club(s)/Student Organization(s),4 - 5 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),3,5,3,5,4,4,4,2
4/2/2020 14:46:43,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,No,Junior (Undergraduate),Materials Science and Engineering,Single Major,One Minor,"Upper Class (>$200,000)",3 - 4 Clubs/Student Organizations,7 - 8 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),2,5,2,3,5,5,5,4
4/2/2020 14:57:36,Fall Admit - Freshmen,Latinx/Chicanx,Yes,Yes,Cisgender Woman,Heterosexual,Yes,Junior (Undergraduate),Mechanical Engineering,Single Major,No Minors,"Working Poor ($20,000 to $44,999)",1 - 2 Club(s)/Student Organization(s),4 - 5 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),3,5,3,4,4,3,4,2
4/2/2020 15:11:00,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,Yes,Junior (Undergraduate),"Economics, Electrical Engineering and Computer Science",Double Major,No Minors,"Upper Class (>$200,000)",1 - 2 Club(s)/Student Organization(s),6 - 7 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),3,4,2,3,4,4,2,3
4/2/2020 15:28:17,Fall Admit - Freshmen,Latinx/Chicanx,Yes,No,Cisgender Woman,Bisexual,Yes,Sophmore (Undergraduate),Mechanical Engineering,Single Major,No Minors,Decline to say,3 - 4 Clubs/Student Organizations,More Than 8 Hours,,3,3,1,3,2,4,1,4
4/2/2020 15:47:20,Fall Admit - Freshmen,White/Caucasian,No,Yes,Cisgender Woman,Gray Asexual,Yes,Freshman (Graduate),Computer Science,Single Major,No Minors,"Working Poor ($20,000 to $44,999)",1 - 2 Club(s)/Student Organization(s),4 - 5 Hours,,,,,,5,5,5,5
4/2/2020 15:59:15,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,Yes,Senior (Undergraduate),Electrical Engineering and Computer Science,Single Major,No Minors,"Upper Class (>$200,000)",1 - 2 Club(s)/Student Organization(s),4 - 5 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),3,5,2,4,4,4,5,3
4/2/2020 16:05:37,Fall Admit - Freshmen,"East Asian, White/Caucasian",No,No,Cisgender Woman,Heterosexual,No,Sophmore (Undergraduate),Materials Science and Engineering,Single Major,No Minors,"Upper Class (>$200,000)",3 - 4 Clubs/Student Organizations,More Than 8 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),2,3,3,4,4,5,4,5
4/2/2020 16:20:15,Fall Admit - Freshmen,South Asian,No,No,Cisgender Man,Heterosexual,No,Junior (Undergraduate),Interdisciplinary Studies - specializing in International Finance & Data Analytics,Single Major,No Minors,"Middle Class ($99,000 to $149,999)",3 - 4 Clubs/Student Organizations,More Than 8 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),2,5,2,5,5,3,1,5
4/2/2020 20:51:27,Fall Admit - Freshmen,South-East Asian,No,No,Cisgender Woman,Heterosexual,Yes,Freshman (Undergraduate),Bioengineering,Double Major,No Minors,"Middle Class ($99,000 to $149,999)",3 - 4 Clubs/Student Organizations,More Than 8 Hours,"No, I Didn't Know Any of the Subject Matter. (0-15%)",4,5,4,5,5,4,4,3
4/2/2020 21:01:06,Fall Admit - Freshmen,South Asian,No,Decline to say,Cisgender Woman,Heterosexual,Yes,Freshman (Undergraduate),Electrical Engineering and Computer Science,Single Major,Two Minors,"New Money ($150,000 to $199,999)",3 - 4 Clubs/Student Organizations,4 - 5 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),1,5,3,5,5,5,5,5
4/2/2020 22:09:18,Fall Admit - Freshmen,"South-East Asian, White/Caucasian",No,No,Cisgender Woman,Heterosexual,Yes,Sophmore (Undergraduate),Bioengineering,Single Major,One Minor,"Upper Class (>$200,000)",3 - 4 Clubs/Student Organizations,7 - 8 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),3,5,1,5,4,4,5,4
4/3/2020 9:28:07,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,No,Senior (Undergraduate),Electrical Engineering and Computer Science,Single Major,No Minors,"Upper Class (>$200,000)",1 - 2 Club(s)/Student Organization(s),7 - 8 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),2,5,1,4,3,3,3,5
4/3/2020 10:31:17,Fall Admit - Freshmen,South Asian,No,No,Cisgender Woman,Decline to say,No,Senior (Undergraduate),Mechanical Engineering,Single Major,One Minor,"Working Class ($45,000 to $98,999)",1 - 2 Club(s)/Student Organization(s),3 - 4 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),1,4,2,4,3,5,5,4
4/3/2020 12:03:59,Fall Admit - Freshmen,South Asian,No,No,Cisgender Woman,Heterosexual,Yes,Freshman (Undergraduate),"Bioengineering, Electrical Engineering and Computer Science",Double Major,One Minor,"Middle Class ($99,000 to $149,999)",3 - 4 Clubs/Student Organizations,3 - 4 Hours,,4,4,3,5,4,3,4,4
4/3/2020 17:52:59,Fall Admit - Freshmen,South Asian,No,No,Cisgender Woman,Heterosexual,No,Freshman (Undergraduate),Computer Science,Single Major,One Minor,"Upper Class (>$200,000)",1 - 2 Club(s)/Student Organization(s),2 - 3 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),2,5,2,5,4,2,4,4
4/3/2020 19:08:25,Fall Admit - Freshmen,South Asian,No,No,Cisgender Woman,Heterosexual,No,Junior (Undergraduate),Materials Science and Engineering,Single Major,No Minors,"Working Class ($45,000 to $98,999)",3 - 4 Clubs/Student Organizations,5 - 6 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),4,5,4,5,4,5,5,5
4/4/2020 0:16:38,Fall Admit - Freshmen,East Asian,No,No,Decline to say,Heterosexual,No,Junior (Undergraduate),Bioengineering,Single Major,One Minor,"Middle Class ($99,000 to $149,999)",3 - 4 Clubs/Student Organizations,7 - 8 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),4,4,3,4,4,4,4,3
4/4/2020 8:20:37,Fall Admit - Freshmen,South-East Asian,Yes,No,Cisgender Woman,Heterosexual,No,Junior (Undergraduate),Civil and Environmental Engineering,Single Major,One Minor,"Middle Class ($99,000 to $149,999)",3 - 4 Clubs/Student Organizations,More Than 8 Hours,"No, I Didn't Know Any of the Subject Matter. (0-15%)",4,5,4,5,5,4,4,3
4/4/2020 9:34:39,Fall Admit - Freshmen,East Asian,No,No,Cisgender Man,Heterosexual,No,Sophmore (Undergraduate),Bioengineering,Double Major,No Minors,"Upper Class (>$200,000)",3 - 4 Clubs/Student Organizations,5 - 6 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),3,4,3,4,4,4,3,4
4/4/2020 13:35:54,Fall Admit - Freshmen,White/Caucasian,No,No,Cisgender Man,Heterosexual,No,Sophmore (Undergraduate),Computer Science,Single Major,No Minors,"Upper Class (>$200,000)",1 - 2 Club(s)/Student Organization(s),2 - 3 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),5,5,5,5,5,4,3,3
4/4/2020 13:36:15,Spring Admit - Freshmen,South Asian,No,No,Cisgender Man,Heterosexual,No,Junior (Undergraduate),"Computer Science, Mathematics",Double Major,No Minors,"Upper Class (>$200,000)",1 - 2 Club(s)/Student Organization(s),3 - 4 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),1,4,1,3,4,5,4,2
4/4/2020 13:37:09,Fall Admit - Freshmen,East Asian,No,No,Cisgender Man,Heterosexual,No,Senior (Undergraduate),Computer Science,Single Major,No Minors,"Upper Class (>$200,000)",1 - 2 Club(s)/Student Organization(s),2 - 3 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),3,4,3,4,3,3,4,3
4/4/2020 13:37:44,Spring Admit - Freshmen,"East Asian, White/Caucasian",No,No,Cisgender Woman,Heterosexual,Yes,Sophmore (Undergraduate),Computer Science,Single Major,No Minors,"Upper Class (>$200,000)",1 - 2 Club(s)/Student Organization(s),3 - 4 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),5,5,4,5,5,5,5,3
4/4/2020 13:37:49,Fall Admit - Freshmen,South Asian,No,No,Male,Heterosexual,No,Sophmore (Undergraduate),Computer Science,Single Major,No Minors,"Upper Class (>$200,000)",No Clubs/Student Organizations,0 Hours,,3,,3,,5,5,5,5
4/4/2020 13:39:35,Fall Admit - Freshmen,East Asian,No,No,Cisgender Man,Heterosexual,No,Junior (Undergraduate),Computer Science,Single Major,No Minors,"Working Class ($45,000 to $98,999)",3 - 4 Clubs/Student Organizations,More Than 8 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),2,4,3,3,1,2,2,2
4/4/2020 13:40:13,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,Yes,Junior (Undergraduate),Computer Science,Single Major,No Minors,"Middle Class ($99,000 to $149,999)",1 - 2 Club(s)/Student Organization(s),3 - 4 Hours,"No, I Didn't Know Any of the Subject Matter. (0-15%)",3,3,3,3,5,5,3,3
4/4/2020 13:40:33,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,No,Sophmore (Undergraduate),Computer Science,Single Major,One Minor,"Upper Class (>$200,000)",1 - 2 Club(s)/Student Organization(s),1 - 2 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),3,4,4,4,5,3,3,4
4/4/2020 13:41:33,Fall Admit - Freshmen,East Asian,No,No,Cisgender Man,Heterosexual,No,Sophmore (Undergraduate),"Computer Science, Mathematics",Double Major,No Minors,"New Money ($150,000 to $199,999)",1 - 2 Club(s)/Student Organization(s),4 - 5 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),5,5,4,5,5,5,5,5
4/4/2020 13:45:17,Fall Admit - Freshmen,East Asian,No,No,Decline to say,Homosexual,No,Sophmore (Undergraduate),Computer Science,Single Major,One Minor,"Upper Class (>$200,000)",1 - 2 Club(s)/Student Organization(s),3 - 4 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),3,5,3,5,4,4,4,2
4/4/2020 13:46:31,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,No,Sophmore (Undergraduate),"Computer Science, Mathematics",Double Major,No Minors,"Upper Class (>$200,000)",1 - 2 Club(s)/Student Organization(s),4 - 5 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),3,4,3,4,4,4,4,4
4/4/2020 13:51:30,Fall Admit - Freshmen,East Asian,No,No,The options are very comfusing,The options are very confusing ,Decline to say,Sophmore (Undergraduate),"Computer Science, Statistics",Double Major,One Minor,"Middle Class ($99,000 to $149,999)",3 - 4 Clubs/Student Organizations,5 - 6 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),4,5,2,5,5,5,5,5
4/4/2020 14:00:55,Fall Admit - Freshmen,South Asian,No,No,Cisgender Man,Heterosexual,No,Sophmore (Undergraduate),"Computer Science, Mathematics",Double Major,No Minors,"Upper Class (>$200,000)",1 - 2 Club(s)/Student Organization(s),3 - 4 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),3,5,4,5,4,4,4,5
4/4/2020 14:15:12,Fall Admit - Freshmen,South-East Asian,No,No,Cisgender Woman,Heterosexual,Yes,Sophmore (Undergraduate),Computer Science,Single Major,No Minors,"New Money ($150,000 to $199,999)",1 - 2 Club(s)/Student Organization(s),4 - 5 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),4,4,3,3,3,3,3,3
4/4/2020 14:31:49,Fall Admit - Freshmen,White/Caucasian,No,No,Cisgender Man,Heterosexual,No,Sophmore (Undergraduate),Computer Science,Single Major,No Minors,"Upper Class (>$200,000)",1 - 2 Club(s)/Student Organization(s),More Than 8 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),3,4,2,4,5,4,3,5
4/4/2020 14:33:19,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,Yes,Sophmore (Undergraduate),Computer Science,Single Major,No Minors,"Middle Class ($99,000 to $149,999)",1 - 2 Club(s)/Student Organization(s),3 - 4 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),4,4,4,5,5,5,5,5
